 Set =  1    X = 1       Z = 0          log g = 14.0  T_Edd= 1.644 keV  R =  14.80 km  z= 0.18
     0.750     2.238     1.540     1.538     1.538     1.548     1.562     0.989     0.988     0.988
     0.800     2.275     1.570     1.571     1.567     1.573     1.590     0.996     0.996     0.995
     0.850     2.309     1.601     1.607     1.596     1.603     1.619     0.998     1.002     0.997
     0.900     2.342     1.649     1.663     1.642     1.647     1.665     1.003     1.011     1.001
     0.950     2.374     1.724     1.751     1.713     1.717     1.734     1.009     1.025     1.006
     0.980     2.393     1.785     1.816     1.773     1.750     1.791     1.042     1.062     1.039
 Set = 16    Y = 1       Z = 0          log g = 14.0  T_Edd= 1.955 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.348     1.967     1.956     1.973     1.781     1.609     0.793     0.801     0.788
     0.003     0.457     1.785     1.774     1.791     1.637     1.517     0.862     0.869     0.858
     0.010     0.618     1.641     1.628     1.646     1.552     1.423     0.914     0.917     0.912
     0.030     0.814     1.545     1.534     1.550     1.550     1.375     0.946     0.945     0.945
     0.050     0.924     1.509     1.498     1.513     1.529     1.379     0.957     0.954     0.957
     0.070     1.005     1.488     1.477     1.491     1.508     1.390     0.962     0.959     0.962
     0.100     1.099     1.467     1.457     1.470     1.487     1.405     0.967     0.964     0.968
     0.150     1.217     1.446     1.435     1.448     1.464     1.419     0.972     0.967     0.972
     0.200     1.307     1.433     1.421     1.435     1.450     1.424     0.974     0.968     0.974
     0.300     1.447     1.419     1.405     1.421     1.433     1.428     0.976     0.968     0.977
     0.400     1.555     1.415     1.400     1.417     1.430     1.432     0.977     0.968     0.977
     0.500     1.644     1.419     1.402     1.421     1.434     1.441     0.978     0.967     0.978
     0.600     1.720     1.430     1.412     1.433     1.445     1.455     0.979     0.968     0.980
     0.700     1.788     1.451     1.433     1.454     1.465     1.478     0.980     0.968     0.981
     0.750     1.819     1.468     1.451     1.470     1.480     1.494     0.983     0.971     0.983
     0.800     1.849     1.487     1.472     1.489     1.500     1.514     0.982     0.972     0.983
     0.850     1.877     1.518     1.504     1.520     1.529     1.543     0.985     0.976     0.985
     0.900     1.904     1.556     1.548     1.556     1.569     1.579     0.984     0.978     0.983
     0.950     1.930     1.629     1.634     1.624     1.632     1.649     0.996     0.999     0.995
     0.980     1.945     1.686     1.688     1.682     1.659     1.703     1.033     1.034     1.032
 Set = 17    Y = 1       Z = 0          log g = 14.3  T_Edd= 2.323 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.413     1.924     1.913     1.929     1.751     1.598     0.821     0.828     0.817
     0.003     0.544     1.748     1.736     1.754     1.617     1.508     0.884     0.890     0.881
     0.010     0.735     1.609     1.597     1.614     1.555     1.418     0.929     0.931     0.928
     0.030     0.967     1.517     1.505     1.521     1.530     1.378     0.956     0.954     0.955
     0.050     1.099     1.482     1.470     1.485     1.503     1.384     0.964     0.961     0.964
     0.070     1.195     1.461     1.450     1.463     1.480     1.393     0.969     0.965     0.969
     0.100     1.306     1.440     1.429     1.443     1.458     1.403     0.973     0.968     0.973
     0.150     1.446     1.420     1.408     1.422     1.436     1.409     0.976     0.970     0.976
     0.200     1.554     1.408     1.394     1.410     1.423     1.411     0.977     0.970     0.977
     0.300     1.719     1.396     1.380     1.399     1.411     1.412     0.978     0.968     0.979
     0.400     1.848     1.395     1.377     1.399     1.410     1.417     0.979     0.967     0.979
     0.500     1.954     1.403     1.382     1.406     1.416     1.428     0.980     0.966     0.980
     0.600     2.045     1.417     1.396     1.421     1.431     1.444     0.980     0.966     0.981
     0.700     2.125     1.443     1.423     1.446     1.452     1.471     0.987     0.972     0.988
     0.750     2.162     1.461     1.442     1.464     1.466     1.489     0.993     0.979     0.993
     0.800     2.197     1.480     1.462     1.483     1.497     1.506     0.978     0.965     0.979
     0.850     2.231     1.514     1.500     1.515     1.521     1.539     0.989     0.979     0.989
     0.900     2.263     1.559     1.551     1.558     1.562     1.580     0.995     0.990     0.995
     0.950     2.294     1.630     1.636     1.625     1.630     1.646     1.001     1.005     0.999
     0.980     2.312     1.690     1.699     1.683     1.664     1.702     1.032     1.039     1.030
 Set = 18    Y = 1       Z = 0          log g = 14.6  T_Edd= 2.761 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.491     1.893     1.884     1.897     1.734     1.590     0.838     0.844     0.834
     0.003     0.646     1.721     1.712     1.726     1.605     1.501     0.897     0.902     0.895
     0.010     0.873     1.584     1.575     1.588     1.546     1.412     0.939     0.940     0.938
     0.030     1.149     1.492     1.484     1.495     1.506     1.380     0.963     0.961     0.963
     0.050     1.306     1.457     1.449     1.459     1.473     1.386     0.970     0.967     0.970
     0.070     1.420     1.437     1.429     1.438     1.452     1.392     0.973     0.971     0.974
     0.100     1.553     1.417     1.408     1.418     1.432     1.396     0.976     0.973     0.976
     0.150     1.718     1.397     1.388     1.399     1.411     1.396     0.978     0.973     0.979
     0.200     1.847     1.387     1.375     1.388     1.400     1.394     0.979     0.973     0.979
     0.300     2.043     1.378     1.363     1.380     1.392     1.396     0.980     0.970     0.980
     0.400     2.196     1.380     1.363     1.384     1.394     1.402     0.980     0.968     0.981
     0.500     2.322     1.390     1.370     1.394     1.404     1.415     0.979     0.965     0.980
     0.600     2.430     1.409     1.389     1.412     1.421     1.435     0.982     0.968     0.983
     0.700     2.526     1.437     1.417     1.440     1.450     1.462     0.981     0.966     0.982
     0.750     2.570     1.457     1.439     1.460     1.466     1.483     0.987     0.974     0.988
     0.800     2.611     1.481     1.466     1.482     1.488     1.505     0.990     0.979     0.991
     0.850     2.651     1.513     1.502     1.514     1.519     1.535     0.992     0.984     0.992
     0.900     2.689     1.557     1.552     1.555     1.560     1.576     0.995     0.992     0.994
     0.950     2.726     1.629     1.640     1.622     1.625     1.641     1.005     1.012     1.002
     0.980     2.747     1.678     1.688     1.671     1.646     1.688     1.039     1.047     1.037
